policy_id,entry_alpha,exit_alpha,weight_power,volatility_window,entry_confirm,cooldown,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp,min_year_trades,eligible
e0.01_x0.05_p1_w240_c1_d0,0.01,0.05,1.0,240,1,0,146,7.610667041770388,-28.040991336931164,0.4315068493150685,1.084086200012547,590.1849315068494,0.0,0.26795297661914447,0.06918672062738818,0.03537069439502116,0.2039634232426376,1111.1573880984768,71.0,False
e0.05_x0.15_p0_w240_c3_d0,0.05,0.15,0.0,240,3,0,218,7.565269239509475,-31.637858250997965,0.44036697247706424,1.0963354931857248,396.58256880733944,0.0045871559633027525,0.37337484132001975,0.12013993008738555,0.060721243187768614,0.22458101333260394,1649.2286942130656,102.0,False
e0.001_x0.15_p0_w120_c3_d0,0.001,0.15,0.0,120,3,0,81,7.513086340923831,-13.516936461566154,0.48148148148148145,1.1165846001327202,366.30864197530866,0.0,0.2645599722787202,0.050425864893977934,0.02589095585311374,0.12103290982147263,608.5599936148303,40.0,False
e0.05_x0.05_p0_w120_c3_d0,0.05,0.05,0.0,120,3,0,209,7.403406442047314,-33.0978047496111,0.44976076555023925,1.0875056706725812,489.50717703349284,0.004784688995215311,0.3335452746133633,0.10436362595473136,0.052932451003571135,0.3105096307379349,1547.3119463878886,102.0,False
e0.01_x0.15_p2_w120_c3_d5,0.01,0.15,2.0,120,3,5,167,7.178750137694029,-3.237781255838179,0.49101796407185627,1.1162356567881555,301.5568862275449,0.0,0.38587808428249315,0.10120349738435097,0.051365877408303895,0.2110791596631616,1198.8512729949027,76.0,False
e0.05_x0.05_p0_w240_c3_d5,0.05,0.05,0.0,240,3,5,164,7.071161058194046,-29.10584231937463,0.43902439024390244,1.0857891956944303,538.0121951219512,0.006097560975609756,0.28633309643363,0.07666682650704626,0.03912803812479804,0.18866175400381602,1159.6704135438235,80.0,False
e0.001_x0.15_p0_w480_c1_d5,0.001,0.15,0.0,480,1,5,101,7.026915580030107,-11.23328931630696,0.44554455445544555,1.0824716296327006,432.8910891089109,0.009900990099009901,0.2179249742304524,0.0437140778908478,0.022479805037376233,0.1764582319594339,709.7184735830408,48.0,False
e0.001_x0.15_p2_w120_c3_d0,0.001,0.15,2.0,120,3,0,88,7.012048341654838,-5.482357139481864,0.4772727272727273,1.1170319600727254,288.5113636363636,0.0,0.2767246408815116,0.05184313600365398,0.02660991936339907,0.11881932056884326,617.0602540656257,43.0,False
e0.01_x0.15_p0_w480_c3_d5,0.01,0.15,0.0,480,3,5,139,6.928044094385879,-22.276355661056122,0.4172661870503597,1.085662693804715,407.67625899280574,0.007194244604316547,0.26302190241591766,0.06316604424439243,0.03233725674379606,0.20034063084579945,962.9981291196373,68.0,False
e0.01_x0.15_p0_w480_c3_d0,0.01,0.15,0.0,480,3,0,146,6.895059403202163,-27.146802108333755,0.4246575342465753,1.08449445847174,416.3082191780822,0.00684931506849315,0.2673360759279799,0.06571472851312521,0.033622382078208,0.21982745913094015,1006.6786728675158,73.0,False
e0.01_x0.05_p2_w240_c1_d5,0.01,0.05,2.0,240,1,5,147,6.711874537979088,-33.46998604502937,0.42857142857142855,1.0753640447615096,528.9183673469388,0.0,0.24141915251302862,0.05682039315041787,0.029131138489252084,0.22996970511375459,986.645557082926,72.0,False
