year,view,scenario,cost_bps,rank,phase,mdd,start,end,minutes,days,baseline_net_log,slow_net_log,matched_net_log,slow_vs_matched_log,conflict_share,both_share,wins_removed_log,losses_avoided_log,gross_delta_log,cost_savings_log,net_delta_log
2023,4,delay_1m_observed,3,2,recovery,0.03629750147367332,2023-01-19 10:11:00,2023-01-30 09:31:00,440,3,0.03895469693003922,0.038753767160579315,0.032344253666673775,0.006409513493905544,0.29545454545454547,0.0,0.011482431161568218,0.010981343808813993,-0.0005010873527542259,0.0003001575832943205,-0.00020092976945990538
2023,4,delay_1m_observed,3,3,decline,0.01974414999638845,2023-01-30 09:31:00,2023-02-01 13:07:00,606,3,-0.019941669958478916,-0.024926156276579847,-0.016557425951323736,-0.00836873032525611,0.5924092409240924,0.0,0.037327205493900895,0.03174233646868929,-0.005584869025211603,0.0006003827071106747,-0.004984486318100928
2023,4,delay_1m_observed,3,3,recovery,0.01974414999638845,2023-02-01 13:07:00,2023-02-02 10:11:00,154,2,0.02010113035477268,0.02010113035477268,0.016690029446083984,0.003411100908688697,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2023,4,delay_1m_observed,3,4,decline,0.015806556058692384,2023-01-10 10:11:00,2023-01-11 10:56:00,285,2,-0.01593281187979432,-0.014887004701674499,-0.013228935082226211,-0.001658069619448286,0.512280701754386,0.0,0.012767486766940284,0.013062899986824306,0.000295413219884022,0.0007503939582358013,0.0010458071781198233
2023,4,delay_1m_observed,3,4,recovery,0.015806556058692384,2023-01-11 10:56:00,2023-01-16 09:38:00,642,4,0.016467112853054758,0.008813768872126513,0.013672871366174531,-0.004859102494048019,0.40809968847352024,0.0,0.026623856296369208,0.018370129608330288,-0.00825372668803892,0.0006003827071106747,-0.007653343980928246
2023,4,delay_1m_observed,3,5,decline,0.012985984101496512,2023-01-03 09:39:00,2023-01-03 10:03:00,24,1,-0.013071039144412296,-0.010580399962603963,-0.010852898030252033,0.0002724980676480681,0.3333333333333333,0.0,0.0004953147350246212,0.002835875125185794,0.0023405603901611727,0.00015007879164716026,0.002490639181808333
2023,4,delay_1m_observed,3,5,recovery,0.012985984101496512,2023-01-03 10:03:00,2023-01-03 11:08:00,65,1,0.013378967922168443,0.011985506782578256,0.01110862298866652,0.0008768837939117335,0.18461538461538463,0.0,0.002234825506418403,0.0006912855751810554,-0.0015435399312373477,0.00015007879164716026,-0.0013934611395901874
2023,4,delay_1m_observed,3,6,decline,0.010078598057666782,2023-01-09 09:32:00,2023-01-10 09:33:00,241,2,-0.010129730982652496,-0.008473608683151848,-0.00841067018936178,-6.293849379006679e-05,0.5726141078838174,0.0,0.012990480915926028,0.014196366840485197,0.001205885924559169,0.00045023637494148077,0.0016561222995006499
2023,4,delay_1m_observed,3,6,recovery,0.010078598057666782,2023-01-10 09:33:00,2023-01-10 10:08:00,35,1,0.01062089114772391,0.01062089114772391,0.008818558104473791,0.001802333043250118,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2023,4,delay_1m_observed,3,7,decline,0.006953621272378957,2023-01-04 09:31:00,2023-01-04 09:49:00,18,1,-0.00697791036034809,-0.0060309372439046926,-0.005793754736816903,-0.00023718250708778914,0.2222222222222222,0.0,0.0006188104719759835,0.0014157047967722214,0.0007968943247962379,0.00015007879164716026,0.0009469731164433982
2023,4,delay_1m_observed,3,7,recovery,0.006953621272378957,2023-01-04 09:49:00,2023-01-04 10:32:00,43,1,0.006986516427599732,0.003493258213799866,0.005800925761097959,-0.0023076675472980934,1.0,0.0,0.007653400464161297,0.004160142250361432,-0.003493258213799866,0.0,-0.003493258213799866
2023,4,delay_1m_observed,3,8,decline,0.006423344039271568,2023-01-05 11:23:00,2023-01-05 14:59:00,126,1,-0.006444062482374228,-0.005427153641484947,-0.005350473845451336,-7.667979603361072e-05,0.23809523809523808,0.0,0.0013469105176429075,0.0020636617752378683,0.0007167512575949608,0.0003001575832943205,0.0010169088408892813
