trade,first_interval_index,last_interval_index,first_booking,last_booking,direction,bars,pnl_log,mfe_log,mae_log,giveback_log,losing_never_favorable,losing_after_favorable,boundary_clipped,exit_day,year,outcome,trading_day,day_index,stage
441,6611,6621,2021-08-05 13:56:00,2021-08-05 14:46:00,-1,11,0.002156301471173488,0.0087976831982090522,0,0.0066413817270355637,False,False,False,2021-08-05,2021,1,2021-08-05,143,28
442,6622,6629,2021-08-05 14:51:00,2021-08-06 10:01:00,1,8,0.00041791287436829857,0.016968274566031578,0,0.016550361691663278,False,False,False,2021-08-06,2021,1,2021-08-06,144,28
443,6630,6663,2021-08-06 10:06:00,2021-08-06 14:26:00,-1,34,0.010601415207309443,0.017539453151097104,-0.0067744620453919473,0.0069380379437876602,False,False,False,2021-08-06,2021,1,2021-08-06,144,28
444,6664,6671,2021-08-06 14:31:00,2021-08-09 09:41:00,1,8,-0.013560325685834347,0.0028321855696953149,-0.013560325685834347,0.016392511255529662,False,True,False,2021-08-09,2021,-1,2021-08-09,145,29
445,6672,6685,2021-08-09 09:46:00,2021-08-09 10:51:00,-1,14,-7.6661641107443612e-05,0.0097518531769272034,-7.6661641107443612e-05,0.009828514818034647,False,True,False,2021-08-09,2021,-1,2021-08-09,145,29
446,6686,6725,2021-08-09 10:56:00,2021-08-10 10:21:00,1,40,0.0073703370230811249,0.016875044137577445,-0.0011953122178474593,0.0095047071144963198,False,False,False,2021-08-10,2021,1,2021-08-10,146,29
447,6726,6729,2021-08-10 10:26:00,2021-08-10 10:41:00,-1,4,-0.005817057805316184,0,-0.0080966988361228041,0.005817057805316184,True,False,False,2021-08-10,2021,-1,2021-08-10,146,29
448,6730,6735,2021-08-10 10:46:00,2021-08-10 11:11:00,1,6,-0.0041380197212145305,0.0019147441101368462,-0.0041380197212145305,0.0060527638313513767,False,True,False,2021-08-10,2021,-1,2021-08-10,146,29
449,6736,6742,2021-08-10 11:16:00,2021-08-10 13:21:00,-1,7,-0.0028826297388756749,0.0022372295582656901,-0.0038542754296645538,0.0051198592971413645,False,True,False,2021-08-10,2021,-1,2021-08-10,146,29
450,6743,6753,2021-08-10 13:26:00,2021-08-10 14:16:00,1,11,-0.0037946629392989796,0.0015138424836749521,-0.0037946629392989796,0.0053085054229739317,False,True,False,2021-08-10,2021,-1,2021-08-10,146,29
451,6754,6759,2021-08-10 14:21:00,2021-08-10 14:46:00,-1,6,-0.0023733512401535265,0.0049992640177611326,-0.0023733512401535265,0.0073726152579146591,False,True,False,2021-08-10,2021,-1,2021-08-10,146,29
452,6760,6766,2021-08-10 14:51:00,2021-08-11 09:56:00,1,7,-0.0053241512071855665,0.0047361622263124995,-0.0053241512071855665,0.010060313433498065,False,True,False,2021-08-11,2021,-1,2021-08-11,147,29
453,6767,6778,2021-08-11 10:01:00,2021-08-11 10:56:00,-1,12,-0.0001906371735551722,0.0051673774476980712,-0.0024627740222533468,0.0053580146212532436,False,True,False,2021-08-11,2021,-1,2021-08-11,147,29
454,6779,6788,2021-08-11 11:01:00,2021-08-11 13:21:00,1,10,0.0053420995402222718,0.011076927458197638,0,0.0057348279179753664,False,False,False,2021-08-11,2021,1,2021-08-11,147,29
