view,scenario,cost_bps,policy,alpha,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
1,legacy_on_minute,3,baseline,1.0,0.10848760251467132,0.5149828299622323,0.46837042051109196,0.4642866894610938,583,0.9999965620616629,6732.0,2.0202060324070823,0.40248514263576796
1,legacy_on_minute,3,slow_conflict_half,1.0,0.13197618143691894,0.619824692130798,0.3638183991170069,0.3582447484495075,580,0.8305577711158173,5574.0,1.6726037615793032,0.5586741751293415
1,legacy_on_minute,3,constant_075,0.75,0.08033389730885795,0.3863507876480062,0.37738215450231105,0.37379857115278964,583,0.7499974215462472,5049.0,1.515040859128979,0.4026045728329977
1,legacy_on_minute,3,constant_050,0.5,0.05287928839464334,0.2576429533905912,0.2708377405069517,0.26804252251728533,583,0.49999828103083144,3366.0,1.009951477794066,0.40272397971892937
1,legacy_on_minute,3,matched_constant,0.8305606265320365,0.08932904906884634,0.42780977699288564,0.4082847053284237,0.4045120077808364,583,0.8305577711158171,5591.33413781367,1.6778182729136124,0.4025660898929267
1,legacy_on_minute,5,baseline,1.0,-0.15337633817226626,-0.8324950102226423,0.6597548605018747,0.6552251011336003,887,0.9999965620616629,6732.0,3.3676838725919547,-0.6366390609205397
1,legacy_on_minute,5,slow_conflict_half,1.0,-0.09438288345846564,-0.4956933546858673,0.5589179664128836,0.5542385359941937,886,0.8305577711158173,5574.0,2.7881218083959682,-0.4381212074685856
1,legacy_on_minute,5,constant_075,0.75,-0.11733635569108344,-0.6240553736026416,0.5544542637643775,0.550012931356082,887,0.7499974215462472,5049.0,2.5254470203796275,-0.6363213015787341
1,legacy_on_minute,5,constant_050,0.5,-0.07980095521915995,-0.41582639658669424,0.4166080750127582,0.4127375749969843,887,0.49999828103083144,3366.0,1.683420827771351,-0.636003643848583
1,legacy_on_minute,5,matched_constant,0.8305606265320365,-0.12911042961383556,-0.6912004751420228,0.5915291216298881,0.5870175770553514,887,0.8305577711158171,5591.33413781367,2.7968285250485208,-0.636423686046612
1,delay_1m,0,baseline,1.0,0.6677363903477337,2.557336260435738,0.2021245849089611,0.17178521963674667,105,0.9999931241233257,6732.0,0.0,2.0938952916627436
1,delay_1m,0,slow_conflict_half,1.0,0.5887533641804018,2.3147483051035898,0.15413562965847385,0.1361597953195282,88,0.8305543331774802,5574.0,0.0,2.1817202910118234
1,delay_1m,0,constant_075,0.75,0.4675589452954495,1.9180021953268036,0.15578840545515216,0.1318250863882436,105,0.7499948430924943,5049.0,0.0,2.0938952916627436
1,delay_1m,0,constant_050,0.5,0.29140868447898155,1.278668130217869,0.10676127765807258,0.089936936051543,105,0.4999965620616629,3366.0,0.0,2.0938952916627436
1,delay_1m,0,matched_constant,0.8305600440059133,0.5292910521364472,2.1240213170054245,0.17100636027035235,0.1449080319155255,105,0.8305543331774803,5591.3302162478085,0.0,2.0938952916627436
1,delay_1m,1,baseline,1.0,0.4576328557944931,1.884068941460392,0.22540163151928533,0.21257702608495088,428,0.9999931241233257,6732.0,0.6732673189753463,1.525966740605715
1,delay_1m,1,slow_conflict_half,1.0,0.4211418817303467,1.7573034526389573,0.17303927513081327,0.15445103154714332,402,0.8305543331774802,5574.0,0.5574448524646332,1.6402290857926909
1,delay_1m,1,constant_075,0.75,0.3265914936342934,1.4130643296654726,0.17432608899747087,0.16409351073269937,428,0.7499948430924943,5049.0,0.5049378656613323,1.5259807882200012
1,delay_1m,1,constant_050,0.5,0.20732873282993694,0.9420513015960341,0.11988424764705462,0.11262697738615902,428,0.4999965620616629,3366.0,0.3366168286218342,1.525994834905245
1,delay_1m,1,matched_constant,0.8305600440059133,0.3674782791339847,1.5648418577819878,0.1911420004917422,0.1800340706056634,428,0.8305543331774803,5591.3302162478085,0.5591794592234366,1.5259762616157575
1,delay_1m,3,baseline,1.0,0.11340851624931222,0.5371302280286571,0.4762950186424778,0.47310312547912,583,0.9999931241233257,6732.0,2.0202060324070823,0.42563805106450464
1,delay_1m,3,slow_conflict_half,1.0,0.1370405847300633,0.642144543524287,0.3674286637700013,0.3639107165210085,581,0.8305543331774802,5574.0,1.6726037615793032,0.5876852554126892
1,delay_1m,3,constant_075,0.75,0.08392885315168265,0.40296133619782465,0.3843558113345003,0.3815438063858962,583,0.7499948430924943,5049.0,1.515040859128979,0.42575919595759354
1,delay_1m,3,constant_050,0.5,0.05521372619818971,0.2687166524238035,0.2762925810657955,0.2740905596030633,583,0.4999965620616629,3366.0,1.009951477794066,0.42588031720978614
