table,cell,start,end,days,pnl_log
short_long_eff,00,2025-03-10,2025-03-10,1,0.0115106782675663
short_long_eff,01,2025-03-11,2025-03-11,1,-0.0204593586457765
short_long_eff,00,2025-03-12,2025-03-12,1,0.0034793414554939
short_long_eff,10,2025-03-13,2025-03-14,2,0.0318754878393743
short_long_eff,00,2025-03-17,2025-03-17,1,-0.0119053360044257
short_long_eff,01,2025-03-18,2025-03-18,1,0.0129840563633089
short_long_eff,10,2025-03-19,2025-03-21,3,0.037695065077564996
short_long_eff,00,2025-03-24,2025-03-24,1,0.00121442010274
short_long_eff,11,2025-03-25,2025-03-25,1,-0.0144726072489541
short_long_eff,01,2025-03-26,2025-03-26,1,-0.0159146272041991
short_long_eff,11,2025-03-27,2025-03-27,1,0.0071649465985329
short_long_eff,10,2025-03-28,2025-03-28,1,0.0029228892047159
short_long_eff,00,2025-03-31,2025-03-31,1,-0.0032996570303486
short_long_eff,01,2025-04-01,2025-04-03,3,0.033488672104714595
short_long_eff,11,2025-04-07,2025-04-07,1,-0.008383629751477
short_long_eff,01,2025-04-08,2025-04-08,1,-0.0069053229684156
short_long_eff,11,2025-04-09,2025-04-09,1,0.0288915297946718
short_long_eff,01,2025-04-10,2025-04-10,1,-0.0233261958017556
short_long_eff,10,2025-04-11,2025-04-11,1,0.002960631877494
short_long_eff,01,2025-04-14,2025-04-16,3,-0.0044302589754232
