rank,leg,view,days,eff_1d,eff_5d,eff_20d,wick_1d
5,recovery,1m_official,37,0.07269027869844166,0.03123432840635889,0.014093331060822296,0.4182528179290262
5,recovery,30m_offset_15,37,0.45627998813394033,0.22342973869802313,0.09056798127404503,0.5106759621852348
5,recovery,5m_offset_0,37,0.17458822661215512,0.07611532885225047,0.03389069871209581,0.500196039564953
5,recovery,5m_offset_1,37,0.17256568672841557,0.07775802797023605,0.03443244403629882,0.5019740354864403
5,recovery,5m_offset_2,37,0.17648410023661143,0.07799118010747759,0.03377869038949291,0.5021766942298758
5,recovery,5m_offset_3,37,0.18213071872898953,0.08002975787401087,0.03531082903568504,0.5075815727308621
5,recovery,5m_offset_4,37,0.1738795189246227,0.07721978505278204,0.03393379658680708,0.4946518538810633
5,recovery,60m_offset_30,37,0.7822419094502833,0.3506499699661235,0.14451589993529668,0.515073961128153
5,recovery,60m_offset_45,37,0.7218098952242396,0.3566017436526884,0.15301025809141933,0.4905945585263012
5,recovery,daily_noon_close_1130,37,1.0,0.43695108858716886,0.19137767340585096,0.5266735089828362
5,recovery,daily_proxy_close_1400,37,1.0,0.4588922824884555,0.21352745655389274,0.4443073401580295
5,recovery,daily_proxy_close_1430,37,1.0,0.44199559402779104,0.18282421254205417,0.4670845727035383
6,decline,15m_offset_10,15,0.4031088376652997,0.17412142521572047,0.12198956206765746,0.47219411892137225
6,decline,15m_offset_5,15,0.39202193416681225,0.1729161724909453,0.12377553631318322,0.4902763183903785
6,decline,1m_official,15,0.11223729022535188,0.047465357847509375,0.033775597762894405,0.4032189628056992
6,decline,30m_offset_15,15,0.6183100495227868,0.28760966910941643,0.1691077958306027,0.5015794056057259
6,decline,5m_offset_0,15,0.23734065884561278,0.09811392882302533,0.06889129647926252,0.4697938420397139
6,decline,5m_offset_1,15,0.23586722937214716,0.09980544020529794,0.07118478862416826,0.4539203960635475
6,decline,5m_offset_2,15,0.23597011943157548,0.10144932949968923,0.07211419117283589,0.467453620436411
6,decline,5m_offset_3,15,0.23930116898562442,0.10300381543210452,0.07289402363472859,0.46870508224936297
6,decline,5m_offset_4,15,0.24896714831576905,0.10413112854968087,0.07290334645908901,0.4665228523816091
6,decline,60m_offset_30,15,0.9237188627010844,0.39885516246623615,0.24296801772130436,0.48402638810042714
6,decline,60m_offset_45,15,0.8137410949410918,0.39962475400289427,0.2446032041636185,0.4837842958658312
6,decline,daily_noon_close_1130,15,1.0,0.5063942962148679,0.3274801024947084,0.41740515630821917
6,decline,daily_proxy_close_1400,15,1.0,0.47802789243258753,0.3057352698383532,0.5128884668660301
6,decline,daily_proxy_close_1430,15,1.0,0.44203042086077377,0.2811624385732279,0.5559186552646609
6,recovery,15m_offset_10,24,0.34076983640053865,0.18724285829347273,0.10599328041421835,0.48459236698929614
6,recovery,15m_offset_5,24,0.33591775089405324,0.18816157093519115,0.10604249570538249,0.4712380554531104
6,recovery,1m_official,24,0.09707219882398217,0.050966664558123154,0.02886907999601719,0.375186730877518
6,recovery,30m_offset_15,24,0.5158195774364555,0.28831258645746555,0.1690100699308409,0.46614702484314224
6,recovery,5m_offset_0,24,0.20031245691984523,0.10578260842718538,0.05951369936038403,0.4526613829021595
6,recovery,5m_offset_1,24,0.20119932603678967,0.10930098339880467,0.06035057479448008,0.44916708678252465
6,recovery,5m_offset_2,24,0.20430048107034207,0.11018432642785987,0.06170614518438189,0.4538127684821558
6,recovery,5m_offset_3,24,0.19474178191938493,0.10619425170042666,0.06134474334946436,0.42626579785711094
6,recovery,5m_offset_4,24,0.20103950055901323,0.10895711569986832,0.0613787845353514,0.44064532862970784
6,recovery,60m_offset_30,24,0.8290279350403601,0.45795882838323493,0.25135005402023675,0.47393360782645716
6,recovery,60m_offset_45,24,0.7547598141094483,0.4326890445519734,0.24115073162385733,0.41572042338079074
6,recovery,daily_noon_close_1130,24,1.0,0.5566949507635904,0.3160328102293665,0.4837450835017861
6,recovery,daily_proxy_close_1400,24,1.0,0.565114524533313,0.3134694441191917,0.5140262067078253
6,recovery,daily_proxy_close_1430,24,1.0,0.5370995188755903,0.28395705931723064,0.48559936744616516
7,decline,15m_offset_10,32,0.31434345579271894,0.16176457512063355,0.051113538408385235,0.5049481295189374
7,decline,15m_offset_5,32,0.3126164295670014,0.16023051159625734,0.05149133256989123,0.4990199437645411
7,decline,1m_official,32,0.08363455434980166,0.04216238984628465,0.013005714804192662,0.3938303678262952
