view,year,feature,outcome,rho,n_days
5m_offset_1,2025,fast_share_1d,capture,-0.2681265907162768,223
5m_offset_1,2025,fast_share_5d,pnl_log,-0.07981283653929394,223
5m_offset_1,2025,fast_share_5d,capture,-0.08073804906764548,223
5m_offset_1,2025,fast_share_20d,pnl_log,-0.08986897692054642,223
5m_offset_1,2025,fast_share_20d,capture,-0.09438574545076786,223
5m_offset_1,2025,work_turns_5d,pnl_log,0.05983413667343293,223
5m_offset_1,2025,work_turns_5d,capture,0.042629862663611705,223
5m_offset_1,2025,slow_work_velocity_5d,pnl_log,0.12411266166871547,223
5m_offset_1,2025,slow_work_velocity_5d,capture,0.10327644268227228,223
5m_offset_1,2025,slow_work_opposition_5d,pnl_log,0.002393465909861534,223
5m_offset_1,2025,slow_work_opposition_5d,capture,-0.017670285870158474,223
5m_offset_1,2025,wick_1d,pnl_log,-0.0488458108973804,223
